voted_for,gender,income
Clinton,Female,"$70,000 - $79,999"
Clinton,Female,"$50,000 - $59,999"
Trump,Female,"$70,000 - $79,999"
Trump,Female,"$20,000 - $29,999"
Clinton,Male,"$100,000 - $119,999"
Trump,Female,"$50,000 - $59,999"
Clinton,Female,"$50,000 - $59,999"
Clinton,Female,NA
Clinton,Male,"$100,000 - $119,999"
Clinton,Female,"$20,000 - $29,999"
Clinton,Male,"$70,000 - $79,999"
Trump,Female,"$30,000 - $39,999"
Clinton,Male,NA
Clinton,Female,"$20,000 - $29,999"
Trump,Female,"$70,000 - $79,999"
Clinton,Male,"$80,000 - $99,999"
Trump,Female,"$120,000 - $149,999"
Trump,Female,"$80,000 - $99,999"
Trump,Female,"$30,000 - $39,999"
Trump,Female,"$50,000 - $59,999"
Trump,Male,"$30,000 - $39,999"
Trump,Male,"Less than $10,000"
Clinton,Male,"$30,000 - $39,999"
Trump,Female,"$80,000 - $99,999"
Trump,Male,"$80,000 - $99,999"
Clinton,Male,"$30,000 - $39,999"
Clinton,Male,"$40,000 - $49,999"
Trump,Female,NA
Clinton,Male,"$60,000 - $69,999"
Clinton,Male,"$60,000 - $69,999"
Clinton,Male,"$50,000 - $59,999"
Clinton,Male,"$80,000 - $99,999"
Trump,Female,"$20,000 - $29,999"
Trump,Female,"$40,000 - $49,999"
Trump,Female,"$10,000 - $19,999"
Trump,Male,"$50,000 - $59,999"
Clinton,Male,"$70,000 - $79,999"
Clinton,Female,"$20,000 - $29,999"
Clinton,Female,"$50,000 - $59,999"
Clinton,Female,NA
Clinton,Female,NA
Trump,Male,"$30,000 - $39,999"
Clinton,Female,"$40,000 - $49,999"
Trump,Male,"$30,000 - $39,999"
Trump,Female,"$40,000 - $49,999"
Clinton,Female,"$120,000 - $149,999"
Trump,Male,"$250,000 - $349,999"
Clinton,Male,"$250,000 - $349,999"
Clinton,Female,"$80,000 - $99,999"
Trump,Female,"$80,000 - $99,999"
Clinton,Female,"$100,000 - $119,999"
Trump,Male,"$150,000 - $199,999"
Trump,Female,"$20,000 - $29,999"
Clinton,Male,"$80,000 - $99,999"
Clinton,Male,"$100,000 - $119,999"
Trump,Female,"$30,000 - $39,999"
Clinton,Male,"$10,000 - $19,999"
Clinton,Male,"$150,000 - $199,999"
Clinton,Male,"$60,000 - $69,999"
Trump,Female,"$60,000 - $69,999"
Clinton,Male,"$20,000 - $29,999"
Trump,Male,"$60,000 - $69,999"
Trump,Female,"$40,000 - $49,999"
Trump,Female,"$60,000 - $69,999"
Trump,Male,"$100,000 - $119,999"
Clinton,Male,"$70,000 - $79,999"
Clinton,Female,NA
Trump,Female,"$50,000 - $59,999"
Trump,Female,"$30,000 - $39,999"
Trump,Female,NA
Clinton,Male,"$70,000 - $79,999"
Clinton,Male,"$70,000 - $79,999"
Trump,Female,"$100,000 - $119,999"
Trump,Female,"$70,000 - $79,999"
Clinton,Male,"$60,000 - $69,999"
Trump,Male,"$80,000 - $99,999"
Clinton,Male,"$60,000 - $69,999"
Trump,Female,"$80,000 - $99,999"
Trump,Female,"$50,000 - $59,999"
Clinton,Female,"$250,000 - $349,999"
Trump,Female,"$30,000 - $39,999"
Trump,Female,"$60,000 - $69,999"
Trump,Male,NA
Clinton,Male,"$30,000 - $39,999"
Trump,Female,"$60,000 - $69,999"
Trump,Male,"$50,000 - $59,999"
Trump,Female,"$40,000 - $49,999"
Trump,Male,"$150,000 - $199,999"
Trump,Male,"$30,000 - $39,999"
Trump,Female,"$70,000 - $79,999"
Clinton,Male,NA
Clinton,Female,"$40,000 - $49,999"
Trump,Male,"Less than $10,000"
Trump,Female,"$70,000 - $79,999"
Clinton,Male,"$150,000 - $199,999"
Clinton,Female,"$60,000 - $69,999"
Trump,Male,"$30,000 - $39,999"
Clinton,Male,"$50,000 - $59,999"
Trump,Male,"$30,000 - $39,999"
Trump,Male,"$20,000 - $29,999"
Trump,Female,"Less than $10,000"
Clinton,Male,"$80,000 - $99,999"
Trump,Male,NA
Trump,Female,"$80,000 - $99,999"
Clinton,Female,NA
Clinton,Male,NA
Clinton,Male,"$30,000 - $39,999"
Trump,Male,NA
Clinton,Male,"$100,000 - $119,999"
Clinton,Female,"$50,000 - $59,999"
Clinton,Male,"$20,000 - $29,999"
Trump,Female,"$80,000 - $99,999"
Clinton,Female,"$70,000 - $79,999"
Trump,Male,"$40,000 - $49,999"
Trump,Male,NA
Trump,Female,"$50,000 - $59,999"
Clinton,Female,"$100,000 - $119,999"
Clinton,Male,"$60,000 - $69,999"
Trump,Male,"$80,000 - $99,999"
Clinton,Female,"$30,000 - $39,999"
Trump,Female,"$10,000 - $19,999"
Trump,Female,"$150,000 - $199,999"
Clinton,Male,"$40,000 - $49,999"
Trump,Female,"$70,000 - $79,999"
Trump,Female,"$30,000 - $39,999"
Trump,Female,"$80,000 - $99,999"
Trump,Male,"$80,000 - $99,999"
Trump,Female,"$10,000 - $19,999"
Trump,Female,"$80,000 - $99,999"
Trump,Female,"$60,000 - $69,999"
Clinton,Female,NA
Trump,Female,"$100,000 - $119,999"
Trump,Male,"Less than $10,000"
Trump,Female,"$30,000 - $39,999"
Trump,Female,"$20,000 - $29,999"
Trump,Male,"$100,000 - $119,999"
Clinton,Female,"$80,000 - $99,999"
Trump,Male,"$40,000 - $49,999"
Trump,Female,"$60,000 - $69,999"
Clinton,Female,NA
Clinton,Female,"$80,000 - $99,999"
Clinton,Female,"$30,000 - $39,999"
Clinton,Female,"$70,000 - $79,999"
Trump,Male,"$30,000 - $39,999"
Trump,Female,"$70,000 - $79,999"
Trump,Female,"$30,000 - $39,999"
Clinton,Female,"$60,000 - $69,999"
Clinton,Male,"$120,000 - $149,999"
Trump,Female,NA
Trump,Male,"$120,000 - $149,999"
Clinton,Female,"$30,000 - $39,999"
Trump,Male,"$250,000 - $349,999"
Clinton,Male,"$60,000 - $69,999"
Clinton,Female,"$150,000 - $199,999"
Trump,Female,NA
Clinton,Female,"$150,000 - $199,999"
Trump,Male,"$10,000 - $19,999"
Clinton,Male,"$80,000 - $99,999"
Clinton,Male,"$20,000 - $29,999"
Trump,Female,"$60,000 - $69,999"
Clinton,Male,"$150,000 - $199,999"
Clinton,Female,"$30,000 - $39,999"
Clinton,Male,"$150,000 - $199,999"
Trump,Male,"$40,000 - $49,999"
Clinton,Male,"$70,000 - $79,999"
Clinton,Male,"$50,000 - $59,999"
Clinton,Male,"$150,000 - $199,999"
Trump,Male,"$200,000 - $249,999"
Trump,Female,"$10,000 - $19,999"
Trump,Female,"$30,000 - $39,999"
Clinton,Male,NA
Clinton,Female,"$20,000 - $29,999"
Trump,Male,"$30,000 - $39,999"
Clinton,Male,"$80,000 - $99,999"
Clinton,Male,"$70,000 - $79,999"
Clinton,Female,NA
Trump,Female,NA
Clinton,Female,"$30,000 - $39,999"
Trump,Male,"$20,000 - $29,999"
Clinton,Male,"$120,000 - $149,999"
Trump,Female,"$50,000 - $59,999"
Clinton,Female,"$50,000 - $59,999"
Trump,Male,"$80,000 - $99,999"
Trump,Female,NA
Trump,Male,"$40,000 - $49,999"
Trump,Male,"$150,000 - $199,999"
Clinton,Male,"$120,000 - $149,999"
Clinton,Female,"$100,000 - $119,999"
Clinton,Female,"$500,000 or more"
Trump,Male,"$80,000 - $99,999"
Clinton,Male,"$60,000 - $69,999"
Clinton,Male,"$80,000 - $99,999"
Clinton,Female,"$80,000 - $99,999"
Trump,Female,NA
Clinton,Female,"$20,000 - $29,999"
Clinton,Female,"$20,000 - $29,999"
Clinton,Male,"$60,000 - $69,999"
Trump,Female,"$20,000 - $29,999"
Trump,Male,NA
Trump,Female,"Less than $10,000"
Trump,Male,NA
Trump,Female,"$20,000 - $29,999"
Trump,Female,"$120,000 - $149,999"
Clinton,Male,"Less than $10,000"
Trump,Male,NA
Trump,Female,"$60,000 - $69,999"
Trump,Female,"$20,000 - $29,999"
Trump,Male,"$10,000 - $19,999"
Clinton,Female,"$60,000 - $69,999"
Trump,Female,"Less than $10,000"
Trump,Female,NA
Clinton,Female,NA
Trump,Female,"Less than $10,000"
Trump,Male,"$120,000 - $149,999"
Trump,Male,"$100,000 - $119,999"
Clinton,Female,"$20,000 - $29,999"
Clinton,Male,NA
Trump,Male,NA
Trump,Female,"$120,000 - $149,999"
Trump,Female,"$10,000 - $19,999"
Trump,Female,NA
Trump,Female,"$10,000 - $19,999"
Trump,Male,"$10,000 - $19,999"
Trump,Male,"$20,000 - $29,999"
Trump,Female,"$120,000 - $149,999"
Clinton,Male,"$80,000 - $99,999"
Clinton,Male,NA
Trump,Male,"$50,000 - $59,999"
Trump,Female,"$70,000 - $79,999"
Clinton,Female,"$80,000 - $99,999"
Trump,Female,"$50,000 - $59,999"
Clinton,Male,NA
Trump,Male,"$10,000 - $19,999"
Trump,Male,"$100,000 - $119,999"
Clinton,Male,"Less than $10,000"
Trump,Male,"$80,000 - $99,999"
Trump,Male,"$70,000 - $79,999"
Trump,Female,"$120,000 - $149,999"
Trump,Male,"$80,000 - $99,999"
Trump,Female,"$20,000 - $29,999"
Clinton,Female,"$120,000 - $149,999"
Trump,Female,"$350,000 - $499,999"
Trump,Male,"$120,000 - $149,999"
Trump,Male,"$80,000 - $99,999"
Clinton,Female,"$120,000 - $149,999"
Trump,Female,"$30,000 - $39,999"
Trump,Female,NA
Trump,Female,"$20,000 - $29,999"
Clinton,Male,"$80,000 - $99,999"
Clinton,Female,"$60,000 - $69,999"
Clinton,Male,NA
Trump,Female,"$30,000 - $39,999"
Trump,Male,"$10,000 - $19,999"
Trump,Male,"$80,000 - $99,999"
Clinton,Female,"$70,000 - $79,999"
Trump,Female,"$120,000 - $149,999"
Trump,Male,"$10,000 - $19,999"
Trump,Female,"$40,000 - $49,999"
Trump,Female,"$50,000 - $59,999"
Clinton,Male,"$30,000 - $39,999"
Clinton,Male,"$80,000 - $99,999"
Trump,Female,"$30,000 - $39,999"
Trump,Female,"$50,000 - $59,999"
Clinton,Male,"$200,000 - $249,999"
Clinton,Female,NA
Trump,Female,"$30,000 - $39,999"
Clinton,Female,"$70,000 - $79,999"
Clinton,Female,"$10,000 - $19,999"
Clinton,Male,"$150,000 - $199,999"
Trump,Male,NA
Trump,Female,"$30,000 - $39,999"
Trump,Male,NA
Clinton,Male,"$120,000 - $149,999"
Clinton,Female,NA
Trump,Male,"$10,000 - $19,999"
Trump,Female,"$120,000 - $149,999"
Clinton,Female,"$120,000 - $149,999"
Clinton,Female,"$40,000 - $49,999"
Clinton,Female,NA
Trump,Male,"$150,000 - $199,999"
Trump,Female,NA
Trump,Female,NA
Clinton,Male,"$100,000 - $119,999"
Trump,Female,"$40,000 - $49,999"
Clinton,Female,"$50,000 - $59,999"
Trump,Male,"$10,000 - $19,999"
Trump,Female,"$20,000 - $29,999"
Clinton,Female,"$100,000 - $119,999"
Clinton,Female,"$120,000 - $149,999"
Clinton,Female,"$30,000 - $39,999"
Trump,Female,"$40,000 - $49,999"
Clinton,Male,"$30,000 - $39,999"
Clinton,Female,"$120,000 - $149,999"
Trump,Male,"$30,000 - $39,999"
Clinton,Male,"$60,000 - $69,999"
Trump,Male,NA
Trump,Male,"$60,000 - $69,999"
Clinton,Male,"$100,000 - $119,999"
Clinton,Male,"$50,000 - $59,999"
Clinton,Female,"Less than $10,000"
Clinton,Male,"$70,000 - $79,999"
Trump,Female,"$150,000 - $199,999"
Trump,Female,NA
Clinton,Male,"$60,000 - $69,999"
Trump,Female,"$60,000 - $69,999"
Trump,Female,NA
Clinton,Female,"$30,000 - $39,999"
Trump,Female,"$70,000 - $79,999"
Clinton,Male,"$70,000 - $79,999"
Clinton,Female,"$10,000 - $19,999"
Trump,Male,"$250,000 - $349,999"
Trump,Female,NA
Clinton,Male,NA
Clinton,Male,NA
Trump,Female,"$50,000 - $59,999"
Clinton,Female,"$50,000 - $59,999"
Trump,Male,"$120,000 - $149,999"
Clinton,Female,"$200,000 - $249,999"
Trump,Male,"$100,000 - $119,999"
Trump,Male,"$80,000 - $99,999"
Clinton,Female,"$100,000 - $119,999"
Clinton,Female,"$250,000 - $349,999"
Clinton,Female,"$80,000 - $99,999"
Trump,Male,"$70,000 - $79,999"
Clinton,Female,"$70,000 - $79,999"
Trump,Male,"$60,000 - $69,999"
Trump,Female,"$30,000 - $39,999"
Trump,Male,NA
Trump,Male,"$20,000 - $29,999"
Trump,Female,"$30,000 - $39,999"
Clinton,Male,"$80,000 - $99,999"
Clinton,Female,"$150,000 - $199,999"
Trump,Female,"$70,000 - $79,999"
Trump,Female,"$120,000 - $149,999"
Trump,Female,"$40,000 - $49,999"
Clinton,Male,"$500,000 or more"
Trump,Female,"$40,000 - $49,999"
Trump,Male,"$250,000 - $349,999"
Clinton,Female,"$50,000 - $59,999"
Trump,Male,"$120,000 - $149,999"
Clinton,Male,"$120,000 - $149,999"
Clinton,Male,"$10,000 - $19,999"
Clinton,Male,"$60,000 - $69,999"
Trump,Female,"$60,000 - $69,999"
Trump,Male,NA
Trump,Female,"$40,000 - $49,999"
Clinton,Male,"$20,000 - $29,999"
Clinton,Male,"$80,000 - $99,999"
Clinton,Male,NA
Trump,Male,"$100,000 - $119,999"
Trump,Male,"$70,000 - $79,999"
Trump,Male,NA
Trump,Female,"$20,000 - $29,999"
Clinton,Male,"$120,000 - $149,999"
Clinton,Female,"$30,000 - $39,999"
Clinton,Female,"$100,000 - $119,999"
Trump,Female,"$50,000 - $59,999"
Clinton,Male,"$60,000 - $69,999"
Trump,Female,"$120,000 - $149,999"
Clinton,Male,"$80,000 - $99,999"
Clinton,Female,"$150,000 - $199,999"
Trump,Female,"$70,000 - $79,999"
Clinton,Male,"$70,000 - $79,999"
Trump,Male,"$100,000 - $119,999"
Clinton,Male,"$70,000 - $79,999"
Clinton,Female,"$20,000 - $29,999"
Trump,Female,"$120,000 - $149,999"
Clinton,Female,"$100,000 - $119,999"
Clinton,Male,"$120,000 - $149,999"
Trump,Male,NA
Clinton,Male,"$70,000 - $79,999"
Clinton,Female,"$50,000 - $59,999"
Clinton,Female,"$20,000 - $29,999"
Trump,Male,"$150,000 - $199,999"
Trump,Male,"$120,000 - $149,999"
Clinton,Female,"$10,000 - $19,999"
Trump,Female,"$100,000 - $119,999"
Trump,Male,"$100,000 - $119,999"
Clinton,Male,"$80,000 - $99,999"
Clinton,Female,NA
Clinton,Female,"$80,000 - $99,999"
Trump,Male,"$150,000 - $199,999"
Trump,Male,"$10,000 - $19,999"
Clinton,Female,"$70,000 - $79,999"
Clinton,Male,"$70,000 - $79,999"
Clinton,Female,NA
Trump,Female,"$70,000 - $79,999"
Trump,Female,"$30,000 - $39,999"
Trump,Male,"$350,000 - $499,999"
Clinton,Male,"$70,000 - $79,999"
Trump,Female,"$80,000 - $99,999"
Clinton,Male,"Less than $10,000"
Trump,Female,"$30,000 - $39,999"
Clinton,Female,"$70,000 - $79,999"
Clinton,Female,NA
Trump,Male,"$30,000 - $39,999"
Trump,Female,"$30,000 - $39,999"
Trump,Female,"$30,000 - $39,999"
Clinton,Male,"$100,000 - $119,999"
Trump,Female,"$30,000 - $39,999"
Clinton,Male,"$120,000 - $149,999"
Clinton,Female,"$70,000 - $79,999"
Clinton,Male,"$10,000 - $19,999"
Trump,Female,NA
Trump,Female,"$60,000 - $69,999"
Clinton,Female,"$60,000 - $69,999"
Trump,Female,"$120,000 - $149,999"
Clinton,Male,NA
Trump,Female,"$60,000 - $69,999"
Clinton,Female,"$50,000 - $59,999"
Trump,Female,"$120,000 - $149,999"
Clinton,Male,"$120,000 - $149,999"
Trump,Female,"$50,000 - $59,999"
Clinton,Female,NA
Clinton,Female,"$120,000 - $149,999"
Clinton,Male,NA
Clinton,Female,"$10,000 - $19,999"
Trump,Female,NA
Trump,Female,"$80,000 - $99,999"
Clinton,Male,NA
Trump,Female,"$50,000 - $59,999"
Trump,Female,"$80,000 - $99,999"
Clinton,Male,"$150,000 - $199,999"
Trump,Female,"$80,000 - $99,999"
Trump,Female,"$80,000 - $99,999"
Trump,Male,"$150,000 - $199,999"
Clinton,Male,"$150,000 - $199,999"
Trump,Female,"$20,000 - $29,999"
Trump,Male,NA
Clinton,Male,"$70,000 - $79,999"
Trump,Female,"$100,000 - $119,999"
Trump,Female,"$70,000 - $79,999"
Clinton,Female,"$50,000 - $59,999"
Clinton,Female,"$10,000 - $19,999"
Trump,Female,"$20,000 - $29,999"
